family_id,restaurant,income,cost,kids,rating,distance,chosen
1,"Freebirds",39,5.444695,1,0,1.245553,1
1,"MamasPizza",39,6.19446,1,1,2.82493,0
1,"CafeEccell",39,8.182085,1,2,4.21293,0
1,"LosNortenos",39,9.861741,1,3,4.167634,0
1,"WingsNmore",39,9.667909,1,2,6.330531,0
1,"Christophers",39,25.95777,1,4,10.19829,0
1,"MadCows",39,28.99846,1,5,5.601388,0
2,"Freebirds",58,5.26874,3,0,4.162657,0
2,"MamasPizza",58,5.728618,3,1,2.865081,0
2,"CafeEccell",58,7.054855,3,2,5.337799,0
2,"LosNortenos",58,10.78514,3,3,4.282864,1
2,"WingsNmore",58,8.313948,3,2,8.133914,0
2,"Christophers",58,21.2801,3,4,8.664631,0
2,"MadCows",58,25.87567,3,5,9.119597,0
3,"Freebirds",30,4.616315,3,0,2.112586,1
3,"MamasPizza",30,5.992166,3,1,2.215329,0
3,"CafeEccell",30,7.980528,3,2,6.978715,0
3,"LosNortenos",30,10.0605,3,3,5.117877,0
3,"WingsNmore",30,8.76644,3,2,5.312941,0
3,"Christophers",30,23.64499,3,4,9.551273,0
3,"MadCows",30,24.72128,3,5,5.539806,0
4,"Freebirds",24,4.974085,5,0,2.401803,0
4,"MamasPizza",24,6.244085,5,1,2.059263,0
4,"CafeEccell",24,8.451072,5,2,4.944536,0
4,"LosNortenos",24,10.14855,5,3,4.783116,1
4,"WingsNmore",24,9.105867,5,2,5.897751,0
4,"Christophers",24,22.22009,5,4,7.547688,0
4,"MadCows",24,26.61075,5,5,7.36597,0
5,"Freebirds",35,4.681487,0,0,2.669857,1
5,"MamasPizza",35,6.325174,0,1,4.312208,0
5,"CafeEccell",35,7.587141,0,2,4.816533,0
5,"LosNortenos",35,10.04325,0,3,4.730175,0
5,"WingsNmore",35,9.46889,0,2,5.296418,0
5,"Christophers",35,25.24608,0,4,6.08509,0
5,"MadCows",35,23.20879,0,5,5.77845,0
6,"Freebirds",56,4.707841,3,0,2.356887,0
6,"MamasPizza",56,5.993117,3,1,1.83405,0
6,"CafeEccell",56,8.1435,3,2,3.849249,0
6,"LosNortenos",56,9.984689,3,3,5.09539,1
6,"WingsNmore",56,8.187263,3,2,6.118349,0
6,"Christophers",56,28.49315,3,4,6.469848,0
6,"MadCows",56,28.45573,3,5,7.312015,0
7,"Freebirds",37,4.835156,4,0,1.753938,0
7,"MamasPizza",37,5.687335,4,1,4.081307,0
7,"CafeEccell",37,8.265217,4,2,5.682383,0
7,"LosNortenos",37,10.07168,4,3,5.911794,1
7,"WingsNmore",37,8.385334,4,2,6.303262,0
7,"Christophers",37,24.72002,4,4,6.858522,0
7,"MadCows",37,24.90776,4,5,9.304887,0
8,"Freebirds",55,4.751024,2,0,2.615189,0
8,"MamasPizza",55,6.026827,2,1,5.661064,0
8,"CafeEccell",55,8.854009,2,2,4.549314,0
8,"LosNortenos",55,10.04013,2,3,6.071213,0
8,"WingsNmore",55,9.874514,2,2,2.955053,0
8,"Christophers",55,26.79387,2,4,8.437088,0
8,"MadCows",55,27.91837,2,5,6.404587,1
9,"Freebirds",56,5.287639,4,0,1.960882,0
9,"MamasPizza",56,6.071042,4,1,2.881612,0
9,"CafeEccell",56,7.785817,4,2,7.662911,0
9,"LosNortenos",56,9.397799,4,3,3.707221,1
9,"WingsNmore",56,9.271571,4,2,5.804771,0
9,"Christophers",56,23.94599,4,4,5.862426,0
9,"MadCows",56,27.19673,4,5,7.48509,0
10,"Freebirds",31,5.005994,3,0,2.417216,0
10,"MamasPizza",31,6.203534,3,1,3.542277,0
10,"CafeEccell",31,7.78687,3,2,5.07651,1
10,"LosNortenos",31,9.218381,3,3,6.481695,0
10,"WingsNmore",31,9.660933,3,2,4.881375,0
10,"Christophers",31,27.41074,3,4,5.034767,0
10,"MadCows",31,24.37724,3,5,3.793746,0
11,"Freebirds",27,5.452056,1,0,1.606582,0
11,"MamasPizza",27,6.28294,1,1,2.298894,0
11,"CafeEccell",27,8.278271,1,2,3.689026,1
11,"LosNortenos",27,8.839679,1,3,5.637371,0
11,"WingsNmore",27,9.861233,1,2,4.791333,0
11,"Christophers",27,23.50906,1,4,10.39662,0
11,"MadCows",27,26.91783,1,5,5.545652,0
12,"Freebirds",63,5.173029,3,0,4.017649,0
12,"MamasPizza",63,5.64274,3,1,5.426819,0
12,"CafeEccell",63,8.579724,3,2,3.688593,0
12,"LosNortenos",63,9.936882,3,3,4.068739,0
12,"WingsNmore",63,8.506429,3,2,5.414464,0
12,"Christophers",63,23.46028,3,4,8.89451,0
12,"MadCows",63,22.69386,3,5,2.844533,1
13,"Freebirds",39,5.247812,2,0,2.223717,0
13,"MamasPizza",39,6.535502,2,1,4.674585,1
13,"CafeEccell",39,7.930342,2,2,4.680051,0
13,"LosNortenos",39,9.949331,2,3,5.465814,0
13,"WingsNmore",39,9.064109,2,2,5.164996,0
13,"Christophers",39,26.02539,2,4,8.304291,0
13,"MadCows",39,26.12362,2,5,7.506955,0
14,"Freebirds",47,4.864831,3,0,1.954611,0
14,"MamasPizza",47,6.007812,3,1,3.607306,0
14,"CafeEccell",47,7.675453,3,2,2.535548,1
14,"LosNortenos",47,10.17962,3,3,4.604497,0
14,"WingsNmore",47,8.690594,3,2,3.165001,0
14,"Christophers",47,24.42316,3,4,7.167167,0
14,"MadCows",47,25.32762,3,5,8.66544,0
15,"Freebirds",25,5.156423,3,0,2.51809,0
15,"MamasPizza",25,5.805818,3,1,3.858054,0
15,"CafeEccell",25,8.707621,3,2,5.379271,1
15,"LosNortenos",25,10.65668,3,3,2.251309,0
15,"WingsNmore",25,9.144135,3,2,5.165916,0
15,"Christophers",25,23.03586,3,4,6.456976,0
15,"MadCows",25,27.46992,3,5,5.407147,0
16,"Freebirds",26,5.178916,4,0,2.439504,0
16,"MamasPizza",26,6.148394,4,1,3.209467,0
16,"CafeEccell",26,7.814251,4,2,4.794864,0
16,"LosNortenos",26,10.59268,4,3,5.02115,0
16,"WingsNmore",26,8.669761,4,2,5.884111,1
16,"Christophers",26,25.75213,4,4,5.893166,0
16,"MadCows",26,25.43168,4,5,5.731794,0
17,"Freebirds",10,4.820215,1,0,4.043097,0
17,"MamasPizza",10,5.925664,1,1,1.809203,0
17,"CafeEccell",10,8.725833,1,2,5.837332,0
17,"LosNortenos",10,9.559416,1,3,6.085522,1
17,"WingsNmore",10,9.073495,1,2,5.837905,0
17,"Christophers",10,24.52588,1,4,8.237476,0
17,"MadCows",10,23.61596,1,5,7.09479,0
18,"Freebirds",27,5.515893,4,0,1.7924,0
18,"MamasPizza",27,6.623777,4,1,2.480639,0
18,"CafeEccell",27,8.631879,4,2,4.054198,1
18,"LosNortenos",27,10.14892,4,3,6.878237,0
18,"WingsNmore",27,8.933044,4,2,4.495041,0
18,"Christophers",27,21.81801,4,4,5.143762,0
18,"MadCows",27,26.33891,4,5,5.90266,0
19,"Freebirds",78,5.321938,2,0,1.067795,0
19,"MamasPizza",78,5.773541,2,1,3.396574,0
19,"CafeEccell",78,8.438838,2,2,5.941682,0
19,"LosNortenos",78,9.646501,2,3,3.884347,0
19,"WingsNmore",78,9.203127,2,2,4.767535,0
19,"Christophers",78,26.61072,2,4,4.496842,1
19,"MadCows",78,25.89593,2,5,4.238017,0
20,"Freebirds",57,5.003969,3,0,3.709527,0
20,"MamasPizza",57,5.957161,3,1,2.905819,0
20,"CafeEccell",57,8.624491,3,2,4.169166,0
20,"LosNortenos",57,10.08577,3,3,3.528512,0
20,"WingsNmore",57,9.68727,3,2,3.781964,0
20,"Christophers",57,28.53974,3,4,9.514297,0
20,"MadCows",57,27.81308,3,5,2.33196,1
21,"Freebirds",29,4.849237,0,0,2.95753,0
21,"MamasPizza",29,5.759102,0,1,1.26712,0
21,"CafeEccell",29,7.871823,0,2,4.850929,0
21,"LosNortenos",29,10.05694,0,3,7.283403,0
21,"WingsNmore",29,8.754173,0,2,1.794272,1
21,"Christophers",29,25.44971,0,4,7.408453,0
21,"MadCows",29,27.14499,0,5,7.40977,0
22,"Freebirds",42,5.060841,2,0,3.168004,0
22,"MamasPizza",42,6.000257,2,1,4.08844,0
22,"CafeEccell",42,8.01345,2,2,9.098752,0
22,"LosNortenos",42,10.45906,2,3,4.185899,0
22,"WingsNmore",42,8.877247,2,2,3.741192,1
22,"Christophers",42,30.76438,2,4,12.59985,0
22,"MadCows",42,26.16848,2,5,6.073266,0
23,"Freebirds",10,5.082226,3,0,2.715482,0
23,"MamasPizza",10,5.949166,3,1,3.61124,0
23,"CafeEccell",10,7.303662,3,2,7.189017,1
23,"LosNortenos",10,9.1205,3,3,1.63477,0
23,"WingsNmore",10,9.350504,3,2,5.875214,0
23,"Christophers",10,22.37582,3,4,9.673733,0
23,"MadCows",10,26.7768,3,5,6.85813,0
24,"Freebirds",48,5.006703,4,0,1.941899,0
24,"MamasPizza",48,6.018422,4,1,2.553536,0
24,"CafeEccell",48,7.963959,4,2,4.805525,0
24,"LosNortenos",48,10.4175,4,3,5.613403,1
24,"WingsNmore",48,9.666764,4,2,6.175363,0
24,"Christophers",48,24.13053,4,4,7.040318,0
24,"MadCows",48,24.76371,4,5,9.307414,0
25,"Freebirds",56,5.174783,4,0,1.256428,0
25,"MamasPizza",56,5.71139,4,1,3.571303,0
